"Year","Trade.Flow","Commodity.Code","Netweight..kg."
"2010","Exports","301",1541818
"2010","Imports","301",195358
"2010","Re-exports","301",NA
"2010","Re-imports","301",0
"2011","Exports","301",2952226
"2011","Imports","301",154178
"2011","Re-exports","301",NA
"2011","Re-imports","301",0
"2012","Exports","301",2089288
"2012","Imports","301",152118
"2012","Re-exports","301",NA
"2012","Re-imports","301",0
"2013","Exports","301",2581593
"2013","Imports","301",98878
"2013","Re-exports","301",NA
"2013","Re-imports","301",0
"2014","Exports","301",19609216
"2014","Imports","301",159617
"2014","Re-exports","301",NA
"2014","Re-imports","301",0
"2015","Exports","301",3796278
"2015","Imports","301",32773
"2015","Re-exports","301",NA
"2015","Re-imports","301",0
"2016","Exports","301",3351018
"2016","Imports","301",57771
"2016","Re-exports","301",0
"2016","Re-imports","301",0
"2017","Exports","301",897145
"2017","Imports","301",40399
"2017","Re-exports","301",0
"2017","Re-imports","301",0
"2018","Exports","301",1070383
"2018","Imports","301",50855
"2018","Re-exports","301",0
"2018","Re-imports","301",0
"2019","Exports","301",1672345
"2019","Imports","301",144744
"2019","Re-exports","301",0
"2019","Re-imports","301",0
"2020","Exports","301",2230266
"2020","Imports","301",5690
"2020","Re-exports","301",3018
"2020","Re-imports","301",0
"2010","Exports","302",114853465
"2010","Imports","302",265275
"2010","Re-exports","302",387
"2010","Re-imports","302",0
"2011","Exports","302",151141572
"2011","Imports","302",615955
"2011","Re-exports","302",0
"2011","Re-imports","302",0
"2012","Exports","302",198552390
"2012","Imports","302",1434469
"2012","Re-exports","302",0
"2012","Re-imports","302",0
"2013","Exports","302",159188410
"2013","Imports","302",2446079
"2013","Re-exports","302",0
"2013","Re-imports","302",16500
"2014","Exports","302",137430605
"2014","Imports","302",2854734
"2014","Re-exports","302",0
"2014","Re-imports","302",0
"2015","Exports","302",15765996
"2015","Imports","302",1759165.5
"2015","Re-exports","302",0
"2015","Re-imports","302",0
"2016","Exports","302",16379519
"2016","Imports","302",2365064
"2016","Re-exports","302",0
"2016","Re-imports","302",0
"2017","Exports","302",30040258
"2017","Imports","302",641366.5
"2017","Re-exports","302",0
"2017","Re-imports","302",0
"2018","Exports","302",40983445
"2018","Imports","302",1047593
"2018","Re-exports","302",0
"2018","Re-imports","302",0
"2019","Exports","302",22051400
"2019","Imports","302",2967442
"2019","Re-exports","302",0
"2019","Re-imports","302",0
"2020","Exports","302",13271239
"2020","Imports","302",1461210
"2020","Re-exports","302",1065820
"2020","Re-imports","302",0
"2010","Exports","303",639598979
"2010","Imports","303",1037296152
"2010","Re-exports","303",0
"2010","Re-imports","303",0
"2011","Exports","303",483428545
"2011","Imports","303",1235284339
"2011","Re-exports","303",0
"2011","Re-imports","303",0
"2012","Exports","303",477641529
"2012","Imports","303",952239286
"2012","Re-exports","303",46600
"2012","Re-imports","303",13220
"2013","Exports","303",528330567
"2013","Imports","303",281972552
"2013","Re-exports","303",175039
"2013","Re-imports","303",148852
"2014","Exports","303",14007061231
"2014","Imports","303",281857013
"2014","Re-exports","303",1149280.5
"2014","Re-imports","303",0
"2015","Exports","303",173384039
"2015","Imports","303",497716724.5
"2015","Re-exports","303",1120457
"2015","Re-imports","303",0
"2016","Exports","303",184361001
"2016","Imports","303",1146086147
"2016","Re-exports","303",178408
"2016","Re-imports","303",18244
"2017","Exports","303",197956938
"2017","Imports","303",1290648951
"2017","Re-exports","303",33460
"2017","Re-imports","303",0
"2018","Exports","303",153262374
"2018","Imports","303",644831128
"2018","Re-exports","303",0
"2018","Re-imports","303",7000
"2019","Exports","303",145223125
"2019","Imports","303",607492130
"2019","Re-exports","303",0
"2019","Re-imports","303",19400
"2020","Exports","303",40306047
"2020","Imports","303",258731382
"2020","Re-exports","303",137738
"2020","Re-imports","303",0
"2010","Exports","304",98510382
"2010","Imports","304",119238346
"2010","Re-exports","304",0
"2010","Re-imports","304",0
"2011","Exports","304",88332638
"2011","Imports","304",137266909
"2011","Re-exports","304",0
"2011","Re-imports","304",0
"2012","Exports","304",87870651
"2012","Imports","304",130159802
"2012","Re-exports","304",NA
"2012","Re-imports","304",0
"2013","Exports","304",56719635
"2013","Imports","304",164544796
"2013","Re-exports","304",128096.5
"2013","Re-imports","304",0
"2014","Exports","304",97182998
"2014","Imports","304",414881103
"2014","Re-exports","304",2470483
"2014","Re-imports","304",0
"2015","Exports","304",41067163
"2015","Imports","304",177872219
"2015","Re-exports","304",2516811
"2015","Re-imports","304",0
"2016","Exports","304",43402483
"2016","Imports","304",193363178
"2016","Re-exports","304",74022
"2016","Re-imports","304",0
"2017","Exports","304",45456418
"2017","Imports","304",214162149
"2017","Re-exports","304",30720
"2017","Re-imports","304",0
"2018","Exports","304",35280425
"2018","Imports","304",246189644
"2018","Re-exports","304",17270
"2018","Re-imports","304",0
"2019","Exports","304",30216429
"2019","Imports","304",227262571
"2019","Re-exports","304",0
"2019","Re-imports","304",0
"2020","Exports","304",7865786
"2020","Imports","304",160974055
"2020","Re-exports","304",1240
"2020","Re-imports","304",0
"2010","Exports","305",2930390
"2010","Imports","305",8178616
"2010","Re-exports","305",0
"2010","Re-imports","305",0
"2011","Exports","305",4492479
"2011","Imports","305",11428587
"2011","Re-exports","305",0
"2011","Re-imports","305",0
"2012","Exports","305",5482234
"2012","Imports","305",13605377
"2012","Re-exports","305",2403
"2012","Re-imports","305",0
"2013","Exports","305",6553901
"2013","Imports","305",11831543
"2013","Re-exports","305",3300
"2013","Re-imports","305",106545
"2014","Exports","305",12994894
"2014","Imports","305",12816596
"2014","Re-exports","305",9300
"2014","Re-imports","305",0
"2015","Exports","305",25244192
"2015","Imports","305",14008105
"2015","Re-exports","305",26850
"2015","Re-imports","305",0
"2016","Exports","305",31941784
"2016","Imports","305",18316178
"2016","Re-exports","305",27406
"2016","Re-imports","305",0
"2017","Exports","305",27103679
"2017","Imports","305",15748803
"2017","Re-exports","305",0
"2017","Re-imports","305",0
"2018","Exports","305",18440060
"2018","Imports","305",14266410.5
"2018","Re-exports","305",139
"2018","Re-imports","305",0
"2019","Exports","305",24789025
"2019","Imports","305",14962668
"2019","Re-exports","305",0
"2019","Re-imports","305",0
"2020","Exports","305",11963824
"2020","Imports","305",4666651.5
"2020","Re-exports","305",941
"2020","Re-imports","305",0
"2010","Exports","306",72624449
"2010","Imports","306",51952731
"2010","Re-exports","306",0
"2010","Re-imports","306",0
"2011","Exports","306",56532204
"2011","Imports","306",48003988
"2011","Re-exports","306",0
"2011","Re-imports","306",0
"2012","Exports","306",48001820
"2012","Imports","306",57781653
"2012","Re-exports","306",0
"2012","Re-imports","306",0
"2013","Exports","306",43731122
"2013","Imports","306",41737381
"2013","Re-exports","306",1962
"2013","Re-imports","306",0
"2014","Exports","306",41653170
"2014","Imports","306",36907710.5
"2014","Re-exports","306",19500
"2014","Re-imports","306",0
"2015","Exports","306",24440988
"2015","Imports","306",37810556
"2015","Re-exports","306",8241
"2015","Re-imports","306",0
"2016","Exports","306",38552902
"2016","Imports","306",63189943
"2016","Re-exports","306",0
"2016","Re-imports","306",3
"2017","Exports","306",42131148
"2017","Imports","306",72204292
"2017","Re-exports","306",7550
"2017","Re-imports","306",0
"2018","Exports","306",34489457
"2018","Imports","306",62335560
"2018","Re-exports","306",1573
"2018","Re-imports","306",0
"2019","Exports","306",39663278
"2019","Imports","306",65967857
"2019","Re-exports","306",0
"2019","Re-imports","306",0
"2020","Exports","306",40023540
"2020","Imports","306",49745525
"2020","Re-exports","306",295
"2020","Re-imports","306",0
"2010","Exports","307",14475710
"2010","Imports","307",23167247
"2010","Re-exports","307",0
"2010","Re-imports","307",0
"2011","Exports","307",15866340
"2011","Imports","307",24388151
"2011","Re-exports","307",0
"2011","Re-imports","307",0
"2012","Exports","307",16080796
"2012","Imports","307",10315803
"2012","Re-exports","307",10945.5
"2012","Re-imports","307",0
"2013","Exports","307",13110899
"2013","Imports","307",8800795
"2013","Re-exports","307",20815.5
"2013","Re-imports","307",163
"2014","Exports","307",14679815
"2014","Imports","307",6723191.5
"2014","Re-exports","307",71135
"2014","Re-imports","307",0
"2015","Exports","307",8238400
"2015","Imports","307",10183622
"2015","Re-exports","307",0
"2015","Re-imports","307",0
"2016","Exports","307",13494760
"2016","Imports","307",18222529
"2016","Re-exports","307",0
"2016","Re-imports","307",0
"2017","Exports","307",12516406
"2017","Imports","307",15571007
"2017","Re-exports","307",0
"2017","Re-imports","307",0
"2018","Exports","307",5079463
"2018","Imports","307",8385599
"2018","Re-exports","307",0
"2018","Re-imports","307",0
"2019","Exports","307",7554000
"2019","Imports","307",15156927
"2019","Re-exports","307",0
"2019","Re-imports","307",0
"2020","Exports","307",2609168
"2020","Imports","307",10437067
"2020","Re-exports","307",31376
"2020","Re-imports","307",0
"2010","Exports","308",0
"2010","Imports","308",0
"2010","Re-exports","308",0
"2010","Re-imports","308",0
"2011","Exports","308",0
"2011","Imports","308",2160
"2011","Re-exports","308",0
"2011","Re-imports","308",0
"2012","Exports","308",9928
"2012","Imports","308",9096335
"2012","Re-exports","308",0
"2012","Re-imports","308",0
"2013","Exports","308",41968
"2013","Imports","308",9120900
"2013","Re-exports","308",0
"2013","Re-imports","308",0
"2014","Exports","308",84601
"2014","Imports","308",8596658
"2014","Re-exports","308",0
"2014","Re-imports","308",0
"2015","Exports","308",5297
"2015","Imports","308",8224621
"2015","Re-exports","308",524
"2015","Re-imports","308",0
"2016","Exports","308",3568
"2016","Imports","308",9097390
"2016","Re-exports","308",0
"2016","Re-imports","308",0
"2017","Exports","308",10156
"2017","Imports","308",9814219
"2017","Re-exports","308",0
"2017","Re-imports","308",0
"2018","Exports","308",9432
"2018","Imports","308",9507283
"2018","Re-exports","308",0
"2018","Re-imports","308",0
"2019","Exports","308",7796
"2019","Imports","308",9268853
"2019","Re-exports","308",0
"2019","Re-imports","308",0
"2020","Exports","308",103263
"2020","Imports","308",8369983
"2020","Re-exports","308",0
"2020","Re-imports","308",0
